brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1,Factor2,Factor3,population,glp1_sales_value_per_1,glp1_sales_volume_per_1,glp1_unit_price
308,Aabenraa,3936.207344,64.662615,0.206333,0.358000,0.013750,194.598919,0.338667,80.925500,6.002000,6313,5274399.580000,0.016573,0.848346,0.185996,-0.346433,60873.000000,86.645961,0.103708,835.4822715032473
309,Toender,2043.070950,71.006532,0.216500,0.336000,0.016500,168.877523,0.348500,80.722000,5.935000,3552,2968463.120000,0.009325,1.139800,-1.240338,-0.312192,28773.000000,103.168356,0.123449,835.7159684684685
310,Ribe,2077.394413,57.776015,0.208571,0.363667,0.011667,215.325056,0.323600,81.159571,5.530714,2762,2378959.150000,0.007251,0.607821,-1.514760,-1.076933,35956.000000,66.163065,0.076816,861.3175778421434
311,Haderslev,3505.594850,58.434372,0.195500,0.346800,0.013250,222.374209,0.340000,81.254167,6.161000,4674,3981733.520000,0.012270,0.616717,0.096679,-0.435804,59992.000000,66.371075,0.077910,851.8899272571673
312,Kolding,5447.790987,52.871155,0.179000,0.352500,0.014500,253.618798,0.332000,80.894500,6.209000,9232,8291219.870000,0.024236,0.306713,1.383070,0.106810,103039.000000,80.466812,0.089597,898.0957398180243
313,Esbjerg,3579.939972,53.465456,0.198500,0.362167,0.014750,244.839895,0.308167,81.239600,5.584167,5561,4788118.010000,0.014599,0.457633,-0.543226,-0.885554,66958.000000,71.509275,0.083052,861.0174447041899
314,Varde,3781.456767,54.848236,0.207800,0.346833,0.013000,211.420766,0.316333,81.203750,5.568125,5437,4639460.110000,0.014273,0.484859,-0.362876,-1.102863,68944.000000,67.293167,0.078861,853.3125087364356
315,Vejle,4389.045281,47.474287,0.184000,0.354000,0.011500,265.052838,0.326600,81.053500,5.861500,6285,5402719.520000,0.016500,0.092129,0.395514,-0.518453,92451.000000,58.438735,0.067982,859.6212442322991
401,Hedensted,2370.547669,53.206169,0.179000,0.356143,0.012000,228.827245,0.304833,81.240500,5.538875,4360,3947148.290000,0.011446,0.217431,-1.332076,-0.986091,44554.000000,88.592456,0.097859,905.3092408256881
402,Horsens,4712.911326,51.964974,0.158143,0.351750,0.012000,278.878005,0.271167,81.336500,5.622250,7855,7141833.690000,0.020621,-0.278545,0.359311,-0.731645,90694.000000,78.746485,0.086610,909.2086174411203
