SITE_SHORT;PERIOD_ID;COUNT_;WHO_ATC_CODE;CATEGORY;BRICK_NAME;BRICK_NO
pro;202005;6;A10BD07;DPP-IV;Ballerup;115
pro;202005;3;A10BD07;DPP-IV;Esbjerg;313
min;202005;3;A10BD07;DPP-IV;Frederiksberg;105
pro;202005;4;A10BD07;DPP-IV;Frederiksberg;105
pro;202005;1;A10BD07;DPP-IV;Frederikshavn;508
pro;202005;3;A10BD07;DPP-IV;Frederikssund;114
min;202005;1;A10BD07;DPP-IV;Gentofte;109
pro;202005;2;A10BD07;DPP-IV;Gentofte;109
min;202005;2;A10BD07;DPP-IV;Glostrup;106
pro;202005;7;A10BD07;DPP-IV;Glostrup;106
min;202005;4;A10BD07;DPP-IV;Haderslev;311
pro;202005;1;A10BD07;DPP-IV;Haderslev;311
pro;202005;1;A10BD07;DPP-IV;Hadsund;501
pro;202005;1;A10BD07;DPP-IV;Hedensted;401
pro;202005;2;A10BD07;DPP-IV;Helsingør;113
min;202005;1;A10BD07;DPP-IV;Herning;406
pro;202005;2;A10BD07;DPP-IV;Herning;406
min;202005;2;A10BD07;DPP-IV;Hillerød;111
pro;202005;5;A10BD07;DPP-IV;Hillerød;111
min;202005;4;A10BD07;DPP-IV;Hjørring;507
pro;202005;5;A10BD07;DPP-IV;Hjørring;507
min;202005;3;A10BD07;DPP-IV;Holstebro;408
pro;202005;1;A10BD07;DPP-IV;Holstebro;408
min;202005;8;A10BD07;DPP-IV;Horsens;402
pro;202005;5;A10BD07;DPP-IV;Horsens;402
pro;202005;2;A10BD07;DPP-IV;Hørsholm;112
pro;202005;1;A10BD07;DPP-IV;Kalundborg;203
min;202005;1;A10BD07;DPP-IV;Kbh. NV;107
pro;202005;2;A10BD07;DPP-IV;Kbh. NV;107
pro;202005;4;A10BD07;DPP-IV;Kbh. Ø.;108
min;202005;1;A10BD07;DPP-IV;Kgs. Lyngby;110
pro;202005;2;A10BD07;DPP-IV;Kgs. Lyngby;110
pro;202005;1;A10BD07;DPP-IV;Kolding;312
pro;202005;5;A10BD07;DPP-IV;Køge Bugt;201
pro;202005;1;A10BD07;DPP-IV;Middelfart;306
min;202005;5;A10BD07;DPP-IV;Nyborg;302
pro;202005;4;A10BD07;DPP-IV;Nyborg;302
min;202005;1;A10BD07;DPP-IV;Næstved;206
pro;202005;4;A10BD07;DPP-IV;Næstved;206
min;202005;3;A10BD07;DPP-IV;Nørrebro/City;103
pro;202005;16;A10BD07;DPP-IV;Nørrebro/City;103
min;202005;6;A10BD07;DPP-IV;Odense City;305
pro;202005;11;A10BD07;DPP-IV;Odense City;305
min;202005;19;A10BD07;DPP-IV;Outside DK;Outside DK
pro;202005;20;A10BD07;DPP-IV;Outside DK;Outside DK
pro;202005;3;A10BD07;DPP-IV;Randers;411
pro;202005;1;A10BD07;DPP-IV;Ringkøbing;407
min;202005;4;A10BD07;DPP-IV;Ringsted;205
pro;202005;15;A10BD07;DPP-IV;Ringsted;205
min;202005;3;A10BD07;DPP-IV;Roskilde;202
pro;202005;13;A10BD07;DPP-IV;Roskilde;202
min;202005;1;A10BD07;DPP-IV;Silkeborg;405
pro;202005;22;A10BD07;DPP-IV;Silkeborg;405
pro;202005;1;A10BD07;DPP-IV;Slagelse;204
min;202005;1;A10BD07;DPP-IV;Svendborg;301
min;202005;3;A10BD07;DPP-IV;Sønderborg;307
pro;202005;6;A10BD07;DPP-IV;Sønderborg;307
pro;202005;1;A10BD07;DPP-IV;Thisted;504
min;202005;8;A10BD07;DPP-IV;Tåstrup;116
pro;202005;7;A10BD07;DPP-IV;Tåstrup;116
pro;202005;1;A10BD07;DPP-IV;Tønder;309
pro;202005;12;A10BD07;DPP-IV;Varde;314
min;202005;3;A10BD07;DPP-IV;Vejle;315
pro;202005;36;A10BD07;DPP-IV;Vejle;315
min;202005;16;A10BD07;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;29;A10BD07;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;1;A10BD07;DPP-IV;Viborg;410
pro;202005;1;A10BD07;DPP-IV;Vordingborg;207
pro;202005;1;A10BD07;DPP-IV;Ydre Odense;304
min;202005;12;A10BD07;DPP-IV;Ydre Århus;404
pro;202005;128;A10BD07;DPP-IV;Ydre Århus;404
min;202005;1;A10BD07;DPP-IV;Århus City;403
pro;202005;9;A10BD07;DPP-IV;Århus City;403
min;202005;9;A10BD08;DPP-IV;Aalborg City;502
pro;202005;9;A10BD08;DPP-IV;Aalborg City;502
min;202005;6;A10BD08;DPP-IV;Amager;102
pro;202005;7;A10BD08;DPP-IV;Amager;102
pro;202005;2;A10BD08;DPP-IV;Assens;303
pro;202005;10;A10BD08;DPP-IV;Ballerup;115
pro;202005;1;A10BD08;DPP-IV;Ebeltoft;412
min;202005;1;A10BD08;DPP-IV;Esbjerg;313
pro;202005;1;A10BD08;DPP-IV;Esbjerg;313
min;202005;1;A10BD08;DPP-IV;Frederiksberg;105
pro;202005;4;A10BD08;DPP-IV;Frederiksberg;105
pro;202005;1;A10BD08;DPP-IV;Frederikssund;114
pro;202005;3;A10BD08;DPP-IV;Gentofte;109
min;202005;2;A10BD08;DPP-IV;Glostrup;106
pro;202005;8;A10BD08;DPP-IV;Glostrup;106
min;202005;2;A10BD08;DPP-IV;Haderslev;311
pro;202005;1;A10BD08;DPP-IV;Haderslev;311
min;202005;1;A10BD08;DPP-IV;Hadsund;501
pro;202005;4;A10BD08;DPP-IV;Helsingør;113
pro;202005;1;A10BD08;DPP-IV;Herning;406
min;202005;3;A10BD08;DPP-IV;Hillerød;111
pro;202005;1;A10BD08;DPP-IV;Hillerød;111
pro;202005;8;A10BD08;DPP-IV;Hjørring;507
pro;202005;1;A10BD08;DPP-IV;Holstebro;408
min;202005;4;A10BD08;DPP-IV;Horsens;402
pro;202005;6;A10BD08;DPP-IV;Horsens;402
pro;202005;1;A10BD08;DPP-IV;Hørsholm;112
min;202005;1;A10BD08;DPP-IV;Kalundborg;203
min;202005;3;A10BD08;DPP-IV;Kbh. NV;107
pro;202005;1;A10BD08;DPP-IV;Kbh. NV;107
pro;202005;1;A10BD08;DPP-IV;Kbh. Ø.;108
min;202005;2;A10BD08;DPP-IV;Kgs. Lyngby;110
pro;202005;6;A10BD08;DPP-IV;Kgs. Lyngby;110
pro;202005;1;A10BD08;DPP-IV;Kolding;312
pro;202005;2;A10BD08;DPP-IV;Køge Bugt;201
pro;202005;1;A10BD08;DPP-IV;Lolland;209
pro;202005;1;A10BD08;DPP-IV;Middelfart;306
pro;202005;5;A10BD08;DPP-IV;Nyborg;302
min;202005;1;A10BD08;DPP-IV;Nørrebro/City;103
pro;202005;8;A10BD08;DPP-IV;Nørrebro/City;103
pro;202005;3;A10BD08;DPP-IV;Nørresundby;506
min;202005;1;A10BD08;DPP-IV;Odense City;305
pro;202005;17;A10BD08;DPP-IV;Odense City;305
min;202005;8;A10BD08;DPP-IV;Outside DK;Outside DK
pro;202005;19;A10BD08;DPP-IV;Outside DK;Outside DK
min;202005;1;A10BD08;DPP-IV;Randers;411
pro;202005;3;A10BD08;DPP-IV;Randers;411
min;202005;3;A10BD08;DPP-IV;Ringsted;205
pro;202005;16;A10BD08;DPP-IV;Ringsted;205
min;202005;1;A10BD08;DPP-IV;Roskilde;202
pro;202005;5;A10BD08;DPP-IV;Roskilde;202
min;202005;2;A10BD08;DPP-IV;Silkeborg;405
pro;202005;18;A10BD08;DPP-IV;Silkeborg;405
pro;202005;3;A10BD08;DPP-IV;Slagelse;204
min;202005;3;A10BD08;DPP-IV;Sønderborg;307
pro;202005;4;A10BD08;DPP-IV;Sønderborg;307
min;202005;1;A10BD08;DPP-IV;Thisted;504
min;202005;14;A10BD08;DPP-IV;Tåstrup;116
pro;202005;11;A10BD08;DPP-IV;Tåstrup;116
min;202005;2;A10BD08;DPP-IV;Varde;314
pro;202005;1;A10BD08;DPP-IV;Varde;314
pro;202005;15;A10BD08;DPP-IV;Vejle;315
min;202005;20;A10BD08;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;34;A10BD08;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;4;A10BD08;DPP-IV;Viborg;410
min;202005;5;A10BD08;DPP-IV;Vordingborg;207
pro;202005;3;A10BD08;DPP-IV;Vordingborg;207
pro;202005;2;A10BD08;DPP-IV;Ydre Odense;304
min;202005;11;A10BD08;DPP-IV;Ydre Århus;404
pro;202005;112;A10BD08;DPP-IV;Ydre Århus;404
pro;202005;6;A10BD08;DPP-IV;Århus City;403
pro;202005;1;A10BD10;DPP-IV;Aalborg City;502
min;202005;1;A10BD10;DPP-IV;Amager;102
pro;202005;3;A10BD10;DPP-IV;Amager;102
pro;202005;1;A10BD10;DPP-IV;Ballerup;115
pro;202005;1;A10BD10;DPP-IV;Hedensted;401
pro;202005;1;A10BD10;DPP-IV;Hillerød;111
pro;202005;3;A10BD10;DPP-IV;Nørrebro/City;103
pro;202005;2;A10BD10;DPP-IV;Odense City;305
min;202005;6;A10BD10;DPP-IV;Outside DK;Outside DK
pro;202005;6;A10BD10;DPP-IV;Outside DK;Outside DK
pro;202005;2;A10BD10;DPP-IV;Ringsted;205
pro;202005;1;A10BD10;DPP-IV;Silkeborg;405
pro;202005;1;A10BD10;DPP-IV;Tåstrup;116
min;202005;1;A10BD10;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;1;A10BD10;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;4;A10BD10;DPP-IV;Ydre Odense;304
min;202005;1;A10BD10;DPP-IV;Ydre Århus;404
pro;202005;6;A10BD10;DPP-IV;Ydre Århus;404
pro;202005;2;A10BD11;DPP-IV;Aalborg City;502
min;202005;1;A10BD11;DPP-IV;Amager;102
pro;202005;2;A10BD11;DPP-IV;Amager;102
pro;202005;1;A10BD11;DPP-IV;Ballerup;115
pro;202005;1;A10BD11;DPP-IV;Glostrup;106
min;202005;1;A10BD11;DPP-IV;Hillerød;111
pro;202005;1;A10BD11;DPP-IV;Hillerød;111
min;202005;1;A10BD11;DPP-IV;Horsens;402
pro;202005;2;A10BD11;DPP-IV;Horsens;402
pro;202005;1;A10BD11;DPP-IV;Kgs. Lyngby;110
pro;202005;1;A10BD11;DPP-IV;Nyborg;302
pro;202005;3;A10BD11;DPP-IV;Nørrebro/City;103
pro;202005;1;A10BD11;DPP-IV;Odense City;305
min;202005;6;A10BD11;DPP-IV;Outside DK;Outside DK
pro;202005;5;A10BD11;DPP-IV;Outside DK;Outside DK
pro;202005;1;A10BD11;DPP-IV;Ribe;310
min;202005;2;A10BD11;DPP-IV;Ringsted;205
pro;202005;1;A10BD11;DPP-IV;Ringsted;205
pro;202005;1;A10BD11;DPP-IV;Roskilde;202
min;202005;1;A10BD11;DPP-IV;Sønderborg;307
pro;202005;1;A10BD11;DPP-IV;Varde;314
pro;202005;2;A10BD11;DPP-IV;Vejle;315
min;202005;1;A10BD11;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;2;A10BD11;DPP-IV;Vesterbro/Christianshavn;104
pro;202005;9;A10BD11;DPP-IV;Ydre Århus;404
pro;202005;1;A10BD13;DPP-IV;Aalborg City;502
min;202005;1;A10BD13;DPP-IV;Amager;102
pro;202005;1;A10BD13;DPP-IV;Amager;102
min;202005;2;A10BD13;DPP-IV;Glostrup;106
pro;202005;1;A10BD13;DPP-IV;Glostrup;106
pro;202005;3;A10BD13;DPP-IV;Hillerød;111
pro;202005;1;A10BD13;DPP-IV;Horsens;402
pro;202005;1;A10BD13;DPP-IV;Kbh. Ø.;108
pro;202005;3;A10BD13;DPP-IV;Køge Bugt;201
min;202005;1;A10BD13;DPP-IV;Nørrebro/City;103
pro;202005;3;A10BD13;DPP-IV;Nørrebro/City;103
min;202005;2;A10BD13;DPP-IV;Outside DK;Outside DK
pro;202005;4;A10BD13;DPP-IV;Outside DK;Outside DK
pro;202005;4;A10BD13;DPP-IV;Silkeborg;405
pro;202005;1;A10BD13;DPP-IV;Sønderborg;307
pro;202005;1;A10BD13;DPP-IV;Tåstrup;116
pro;202005;1;A10BD13;DPP-IV;Varde;314
pro;202005;3;A10BD13;DPP-IV;Vejle;315
