YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202008,P,1,138.0,A10BX02,Frederiksberg,105
202008,P,8,2182.0,A10AD05,Middelfart,306
202009,P,12,3214.8,A10AD05,Hørsholm,112
202008,P,-3,-2233.56,A10BD08,Ringsted,205
202008,P,11,3565.43,A10BH01,Randers,411
202009,P,5,5641.96,A10BK01,Aabenraa,308
202009,P,17,357.0,A10BA02,Helsingør,113
202009,P,28,9241.68,A10BK03,København,100
202009,P,1,814.22,A10BH03,Hjørring,507
202008,P,69,44629.99,A10BJ06,Viborg,410
202008,P,2,310.0,A10BB01,København,100
202008,P,1,717.83,A10BJ01,Frederiksberg,105
202009,P,-2,-2014.0,A10BK03,København,100
202009,P,3,982.41,A10BD08,København,100
202009,P,60,10257.0,A10AB05,Silkeborg,405
202009,P,10,2299.7,A10BD08,Svendborg,301
202009,P,1,434.0,A10BH01,Næstved,206
202008,P,1,235.16,A10BD07,Nyborg,302
202008,P,11,2586.76,A10BD07,Slagelse,204
202008,P,34,10033.74,A10AB05,Skive,409
202009,P,54,18026.42,A10AE04,Holstebro,408
202008,P,-1,-809.03,A10BD15,Lolland,209
202009,P,14,6720.84,A10AE04,København,100
202009,P,10,2768.0,A10BH01,Haderslev,311
202009,P,4,1274.0,A10BK01,Bornholm,101
202008,P,5,1316.7,A10AB01,Silkeborg,405
202008,P,1,140.61,A10BB07,Viborg,410
202009,P,2,1721.86,A10BH03,Vordingborg,207
202009,P,1,810.51,A10BD07,Helsingør,113
202009,P,50,8527.59,A10AB05,Svendborg,301
202009,P,20,5400.16,A10AC01,Hedensted,401
202008,P,1,276.76,A10AC01,Kolding,312
202009,P,26,6891.26,A10AD05,København,100
202009,P,2,1054.34,A10AD05,Frederiksberg,105
202009,P,1,321.0,A10BK01,Slagelse,204
202009,P,1,1043.0,A10BD20,Hjørring,507
202008,P,2,1760.8,A10AE56,København,100
202009,P,3,906.0,A10AE04,Haderslev,311
202009,P,3,1004.4,A10BK02,Hedensted,401
202009,P,31,8929.24,A10AE04,Frederikssund,114
202009,P,18,6193.74,A10BK03,Randers,411
202009,P,22,3676.64,A10AB05,Vejle,315
202101,P,610,5947.5,A10BA02,Glostrup,106
202101,P,2,1370.0,A10BJ01,Horsens,402
202101,P,40,15286.0,A10AE05,Hillerød,111
202101,P,3,1365.0,A10AE06,Sønderborg,307
202101,P,1,936.83,A10BD20,Bornholm,101
202101,P,4,275.96,A10BA02,Hørsholm,112
202101,P,1,788.0,A10AE56,Helsingør,113
202101,P,-2,-70.0,A10BB12,København,100
202101,P,1,1538.0,A10BJ02,Varde,314
202101,P,13,13563.99,A10BJ02,København,100
202101,P,5,1728.15,A10BK03,København,100
202101,P,-1,-382.71,A10AE06,Hjørring,507
202101,P,8,2594.0,A10AE04,Glostrup,106
202101,P,3,1570.0,A10BH01,Assens,303
202101,P,-2,-2098.8,A10BD20,Sønderborg,307
202101,P,6,881.64,A10BX02,København,100
202101,P,2,587.84,A10BH01,Slagelse,204
202101,P,1,70.0,A10BA02,Thisted,504
202101,P,9,6885.0,A10BJ06,Helsingør,113
202101,P,1,299.99,A10BD20,Herning,406
202101,P,2,520.0,A10AB05,Ballerup,115
202101,P,-1,-354.49,A10AB05,Næstved,206
202101,P,1,769.3,A10BH04,Aabenraa,308
202101,P,9,6532.0,A10BJ02,København,100
202101,P,2,575.6,A10BH01,København,100
202101,P,1,365.48,A10BD15,København,100
202101,P,2,162.0,A10BB12,Ballerup,115
202101,P,-3,-2547.0,A10BD07,Sønderborg,307
202101,P,11,11451.0,A10BJ02,Vejle,315
202102,P,1,769.3,A10BH04,Herning,406
202102,P,8,8258.48,A10BH05,Silkeborg,405
202101,P,2,1530.0,A10BJ06,København,100
202102,P,12,3284.0,A10AC01,Sønderborg,307
202101,P,2,358.0,A10AD05,Esbjerg,313
202102,P,4,1376.0,A10BK03,Gentofte,109
